,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_ia3_model_summaries,peft_lora_model_summaries
380,#Person2# tries Greek yogurt which #Person1# thinks it's rather plain. #Person1# has an Italian tiramisu which #Person2# thinks delicious. Then they want to have fried bananas and #Person1# goes out to buy some.,#Person1: I'm ready for dessert!,The person who is going to try the tiramisu will get two fried bananas.,#Person2# wants to try traditional Greek yogurt first. #Person1# wants to try an Italian tiramisu and a fried banana. #Person2# will try one of those fried bananas. #Person1# will get two fried bananas.,#Person2# wants to try traditional Greek yogurt and #Person1# wants to try Italian tiramisu. #Person2# thinks it's delicious and wants to try fried bananas. #Person1# will get #Person2# one.
381,"Mr. Smith tells #Person1# that he is 27 and gets a B.A. in Economics at Yale University. During the last five years, he has worked in a bank for $500 a week.",Is there anything else you can tell me about your university?,Tell me about your school.,Mr. Smith tells #Person1# Mr. Smith went to Yale University and has a B. A. in Economics. Mr. Smith tells #Person1# he has worked in a bank for the last five years. Mr. Smith's salary at the bank is $ 500 a week.,"Mr. Smith tells #Person1# about his university, his education, and his job."
382,"Mr. Smith tells #Person1# that he graduated from Yale University with a B. A. in Economics, and he has worked in a bank for the last five years with $500 a week.",I have worked in a bank for the last five years.,Tell me about your school.,Mr. Smith tells #Person1# Mr. Smith went to Yale University and has a B. A. in Economics. Mr. Smith tells #Person1# he has worked in a bank for the last five years. Mr. Smith's salary at the bank is $ 500 a week.,"Mr. Smith tells #Person1# about his university, his education, and his job."
383,"Mr. Smith tells #Person1# that he is 27 and gets a B.A. in Economics at Yale University. During the last five years, he has worked in a bank for $500 a week.",I'm a bank clerk.,Tell me about your school.,Mr. Smith tells #Person1# Mr. Smith went to Yale University and has a B. A. in Economics. Mr. Smith tells #Person1# he has worked in a bank for the last five years. Mr. Smith's salary at the bank is $ 500 a week.,"Mr. Smith tells #Person1# about his university, his education, and his job."
384,#Person2# recommends Digital Barbie for #Person1#'s niece. #Person1# pays $32.42 for it by cash.,The gift for your niece is digital Barbie doll.,Go to the store.,#Person1# wants to buy digital Barbie dolls for #Person2#'s niece. #Person1# shows #Person2# a digital Barbie and #Person2# will take her. #Person1# will pay cash.,#Person1# wants to buy a digital Barbie doll for #Person1#'s niece. #Person2# shows #Person1# one and #Person1# will take it. #Person1# will pay cash.
385,#Person2# recommends #Person1# to buy a $32. 42 Digital Barbie for #Person1#'s niece. #Person1# pays it by cash.,#Person1#: I'm looking for a digital Barbie doll. #Person1#: Thanks.,Go to the store.,#Person1# wants to buy digital Barbie dolls for #Person2#'s niece. #Person1# shows #Person2# a digital Barbie and #Person2# will take her. #Person1# will pay cash.,#Person1# wants to buy a digital Barbie doll for #Person1#'s niece. #Person2# shows #Person1# one and #Person1# will take it. #Person1# will pay cash.
386,#Person1# paid $32.42 by cash to buy a Digital Barbie as a niece's gift after listening to #Person2#'s suggestion.,You can buy a Barbie doll from a lot of stores.,Go to the store.,#Person1# wants to buy digital Barbie dolls for #Person2#'s niece. #Person1# shows #Person2# a digital Barbie and #Person2# will take her. #Person1# will pay cash.,#Person1# wants to buy a digital Barbie doll for #Person1#'s niece. #Person2# shows #Person1# one and #Person1# will take it. #Person1# will pay cash.
387,#Person2# wants a pair of Jordan shoes in size 41.,"#Person1: I'm looking for a pair of sport shoes, Jordan.",You can buy Jordan shoes at the store.,Jordan wants a pair of sport shoes. #Person1# helps Jordan make it a little cheaper.,#Person2# wants a pair of sport shoes. #Person1# helps #Person2# to buy them.
388,#Person2# wants to buy a pair of Jordan shoes in size 41.,#Person1: I want a pair of sport shoes. #Person1: I want a pair of Nikes. #Person2: I want a pair of Jordans. #Person1: They're on sale now.,You can buy Jordan shoes at the store.,Jordan wants a pair of sport shoes. #Person1# helps Jordan make it a little cheaper.,#Person2# wants a pair of sport shoes. #Person1# helps #Person2# to buy them.
389,#Person2# wants to buy a pair of Jordan shoes in size 41.,Find the shoes you want.,You can buy Jordan shoes at the store.,Jordan wants a pair of sport shoes. #Person1# helps Jordan make it a little cheaper.,#Person2# wants a pair of sport shoes. #Person1# helps #Person2# to buy them.
390,#Person1# wants to go to the science museum but loses the way. #Person2# helps #Person1# buy the ticket and gives #Person1# directions.,"Then, you're going to get off at State Street Station.",Go to the science museum.,"Tsk asks Tsk to go to the science museum, but Tsk can't make heads or tails of ticket machines. Tsk tells #Person1# to get on the train at platform number 4 and get off at State Street Station.",#Person1# is lost and wants to go to the science museum. #Person2# tells #Person1# how to get on the train and tells #Person1# where to get off the train.
391,#Person1# is lost on the way to the science museum. #Person2# helps #Person1# to buy the tickets for the train and gives #Person1# directions.,The ticket machine is broken.,Go to the science museum.,"Tsk asks Tsk to go to the science museum, but Tsk can't make heads or tails of ticket machines. Tsk tells #Person1# to get on the train at platform number 4 and get off at State Street Station.",#Person1# is lost and wants to go to the science museum. #Person2# tells #Person1# how to get on the train and tells #Person1# where to get off the train.
392,#Person2# helps #Person1# operate the ticket machine to buy a train ticket and tells #Person1# who loses the way how to go to the science museum.,The person is a man.,Go to the science museum.,"Tsk asks Tsk to go to the science museum, but Tsk can't make heads or tails of ticket machines. Tsk tells #Person1# to get on the train at platform number 4 and get off at State Street Station.",#Person1# is lost and wants to go to the science museum. #Person2# tells #Person1# how to get on the train and tells #Person1# where to get off the train.
